step,omega_rad_s,frequency_hz
0,0.0,0.0
1,0.5026548245743669,0.08
2,1.0053096491487339,0.16
3,1.5079644737231008,0.24000000000000002
4,1.789208915576707,0.28476144313812257
5,1.9446714868291546,0.3095040798187256
6,2.0336242314060713,0.3236613488197327
7,2.084655341800882,0.331783202290535
8,2.1129104777039056,0.3362801468372345
9,2.127030269016975,0.3385273814201355
10,2.13218867264862,0.339348366856575
11,2.1315804245487597,0.33925156116485594
12,2.127214500259403,0.3385567027330399
13,2.1203690173667065,0.33746721029281623
14,2.1118622493845316,0.3361133161187172
15,2.1022196877221626,0.3345786547660828
16,2.0917792388360166,0.3329170057177544
17,2.080758549358121,0.33116300851106645
18,2.069297441487489,0.3293389165401459
19,2.0574859972721704,0.32745906680822384
20,2.0453820499600095,0.32553266376256956
21,2.0330227581383533,0.3235656213760377
22,2.020432230697148,0.32156177669763575
23,2.0076258093168082,0.31952357143163695
24,1.994613682461038,0.3174526271224023
25,1.981401744870463,0.31534988194704067
26,1.9679941479554919,0.3132159966230394
27,1.9543935656963065,0.3110513967275621
28,1.9406013201027168,0.30885629266500486
29,1.9266183081190555,0.306630827188492
30,1.9124445128925063,0.3043749976158143
31,1.8980800467751777,0.30208882182836544
32,1.8835243611142733,0.2997722125053407
33,1.8687769559429104,0.2974250900745393
34,1.8538371122075945,0.2950473400950433
35,1.8387037157499166,0.2926387852430345
36,1.823375950144555,0.29019929558038726
37,1.8078528697612632,0.2877287206053735
38,1.792133373549378,0.28522688508033767
39,1.7762169727772275,0.2826937112212183
40,1.760102321092045,0.2801289847493173
41,1.743788776214277,0.27753260344266906
42,1.7272753644256498,0.2749044123291971
43,1.7105619340508171,0.2722443872690202
44,1.6936483483947136,0.2695525065064432
45,1.6765345625164958,0.26682876288890855
46,1.6592207074936236,0.26407317727804197
47,1.6417076465647973,0.26128588706254974
48,1.6239967672785567,0.2584671130776407
49,1.6060895639179447,0.25561709314584746
50,1.5879883322110446,0.2527361926436426
51,1.5696959820774663,0.2498248746991159
52,1.5512161481079194,0.246883717775345
53,1.5325533262592785,0.2439134374260904
54,1.5137128364038808,0.24091488033533112
55,1.4947008841231846,0.2378890341520311
56,1.4755255231908337,0.23483718067407625
57,1.4561954384248141,0.23176070213317887
58,1.436720293978991,0.22866113662719745
59,1.4171116602480032,0.22554032564163226
60,1.397383109366556,0.22240042924880998
61,1.3775493276277644,0.21924378484487553
62,1.3576273382485988,0.21607310175895708
63,1.3376362373424322,0.2128914192318918
64,1.3175964898458257,0.20970199435949344
65,1.2975314781050904,0.20650854855775852
66,1.277466900792508,0.2033151718974115
67,1.2574311080901202,0.20012637645006198
68,1.237454414469332,0.1969469869136812
69,1.2175694900507565,0.1937822028994562
70,1.1978118249929302,0.1906376728415491
71,1.1782187482838975,0.18751933783292787
72,1.158830040060204,0.18443352907896057
73,1.1396870384076327,0.18138682574033754
74,1.120832942711897,0.17838610321283357
75,1.1023119560375463,0.17543839663267152
76,1.084168826356856,0.1725508278608324
77,1.0664494101829054,0.16973069518804565
78,1.049198296322483,0.16698509514331833
79,1.0324597664866142,0.16432107537984864
80,1.0162763946342752,0.16174541175365464
81,1.0006888672090197,0.15926457971334476
82,0.9857351105376029,0.15688461542129534
83,0.9714496803835252,0.15461101859807988
84,0.9578635091547885,0.15244871228933354
85,0.9450038759433336,0.15040203809738178
86,0.9328928429581972,0.14847450733184833
87,0.9215477405121135,0.14666887819767016
88,0.9109809161018054,0.14498711585998553
89,0.9011999778375527,0.14343043118715304
90,0.8922070210861786,0.1419991576671602
91,0.8839989093513211,0.14069279611110705
92,0.8765675364283528,0.1395100563764574
93,0.8699004836642157,0.13844896197319048
94,0.8639800518567525,0.13750669598579424
95,0.8587849802419673,0.13667987465858478
96,0.8542895289518053,0.13596440136432666
97,0.8504647972788933,0.1353556764125826
98,0.8472790307723024,0.13484864592552204
99,0.8446976399628994,0.13443780481815354
100,0.8426835748703754,0.1341172564029695
101,0.8411979729004045,0.1338808155059816
102,0.8402011587784095,0.1337221676111223
103,0.8396520752988786,0.13363477826118486
104,0.8395089836535087,0.13361200451850908
105,0.839730111328364,0.13364719808101672
106,0.8402735996728922,0.1337336969375612
107,0.84109836901116,0.13386496305465714
108,0.8421641748179071,0.134034591317177
109,0.843431143329831,0.1342362356185915
110,0.844861086065257,0.13446381807327287
111,0.8464171290621794,0.1347114700078966
112,0.8480637765444565,0.13497354209423082
113,0.849767453957002,0.13524469077587145
114,0.8514953469939969,0.13551969349384324
115,0.8532180156579471,0.13579386472702043
116,0.854906476849933,0.13606259167194384
117,0.8565345263131852,0.1363217037916185
118,0.8580771095275107,0.136567213535309
119,0.8595119695402182,0.13679557859897631
120,0.8608176583337974,0.13700338542461413
121,0.861975072304735,0.13718759357929247
122,0.8629663774283438,0.13734536468982714
123,0.8637756459207105,0.13747416377067584
124,0.8643884667513865,0.1375716972351076
125,0.8647917621349437,0.13763588368892685
126,0.8649739298436456,0.1376648765802385
127,0.8649248806581502,0.13765707015991227
128,0.8646351919816255,0.1376109647750856
129,0.864097100283375,0.13752532482147234
130,0.8633037108890079,0.13739905297756214
131,0.8622493912128186,0.13723125278949755
132,0.860928950587395,0.13702109813690203
133,0.8593384941396429,0.1367679691314699
134,0.8574749172062978,0.13647137165069598
135,0.8553356469240752,0.13613089621067068
136,0.8529189643057152,0.1357462692260744
137,0.8502238132413982,0.13531732261180898
138,0.8472497443226901,0.13484398484230062
139,0.8439967200988882,0.13432624995708486
140,0.8404658154051635,0.1337642890214922
141,0.8366580900964062,0.1331582707166674
142,0.8325755627654989,0.13250851631164573
143,0.8282205628461574,0.13181539654731772
144,0.8235960751593973,0.13107938647270223
145,0.8187053279558024,0.13030099987983726
146,0.8135522498140996,0.12948086202144643
147,0.8081411662904655,0.12861966133117697
148,0.8024769871720412,0.12771817922592185
149,0.7965650679093311,0.12677726805210135
150,0.7904108875401593,0.12579779982566855
151,0.7840209961924506,0.12478081703186057
152,0.7774012923519005,0.12372725844383262
153,0.7705591275914744,0.12263829410076163
154,0.7635017448770995,0.12151507675647757
155,0.7562366830352554,0.12035880625247976
156,0.7487719265557852,0.11917075335979482
157,0.7411157183383816,0.11795222997665426
158,0.7332766458292035,0.11670460283756277
159,0.725263210337793,0.11542922496795675
160,0.7170845404729647,0.11412754923105262
161,0.7087496131681869,0.11280100435018561
162,0.7002676188259337,0.11145105302333853
163,0.6916482478155623,0.11007923752069496
164,0.6829005407367358,0.10868699669837974
165,0.6740339838524806,0.10727584034204506
166,0.6650580652983586,0.10584727853536628
167,0.6559822151613423,0.10440281212329887
168,0.6468158335678416,0.10294393718242667
169,0.6375680023132927,0.10147209912538549
170,0.6282478706043969,0.09998875409364721
171,0.6188643891591303,0.09849532663822196
172,0.6094266060672965,0.0969932568073275
173,0.5999430245109727,0.09548389792442344
174,0.5904221570349122,0.09396860480308554
175,0.5808722559014833,0.09244869083166143
176,0.5713012157188424,0.09092541247606299
177,0.5617169179874,0.08940002411603949
178,0.5521266243984346,0.08787368148565314
179,0.5425375872805491,0.08634753882885
180,0.5329569035419297,0.08482272565364858
181,0.5233911719964149,0.08330029219388983
182,0.5138467442832045,0.08178124934434912
183,0.504329782915449,0.08026657789945622
184,0.4948459878901192,0.07875718504190465
185,0.4854011397231966,0.0772539907693865
186,0.47600017816238444,0.07575778126716634
187,0.46664821335608375,0.07426936984062214
188,0.4573499060442617,0.07278949826955815
189,0.4481098458105499,0.07131889700889607
190,0.43893206796817835,0.06985820829868336
191,0.42982048049798716,0.06840805411338825
192,0.4207787648040645,0.06696902036666891
193,0.4118101716074159,0.06554162442684193
194,0.4029178935804576,0.06412637442350408
195,0.39410493801462676,0.06272374898195286
196,0.3853739938703865,0.06133417606353779
197,0.37672742054201513,0.059958031177520944
198,0.3681674987773149,0.058595677316189004
199,0.3596960280825568,0.05724740087986011
200,0.35131513004005605,0.05591353952884693
201,0.3430260704835683,0.0545942947268488
202,0.3348303830193744,0.05328991055488605
203,0.32672916495306725,0.05200056165456791
204,0.31872347988460725,0.05072641730308552
205,0.3108141760724134,0.0494676125049593
206,0.3030017684636497,0.04822422921657581
207,0.29528650797802497,0.046996307373047067
208,0.2876688028282002,0.04578391194343586
209,0.2801488402676894,0.044587072730064584
210,0.27272644053311906,0.043405761122703744
211,0.26540145382167785,0.04223995327949543
212,0.2581733782939479,0.04108956933021564
213,0.25104158852319186,0.039954509735107606
214,0.24400532800521268,0.038834654092788884
215,0.2370638140203212,0.03772987782955188
216,0.23021605037982215,0.036640022397041505
217,0.22346078248517076,0.035564888119697755
218,0.21679675199275197,0.03450427472591419
219,0.21022251705050685,0.03345795273780842
220,0.20373652719933824,0.03242567539215106
221,0.19733710839282972,0.031407176256179996
222,0.1910224105662615,0.03040216088295002
223,0.18479053496900016,0.02941032707691212
224,0.1786393881067575,0.028431341648101995
225,0.17256679783876946,0.027464858889579963
226,0.17091359648349722,0.027201743721962164
227,0.16749925710232857,0.026658334732055852
228,0.1630497728048192,0.025950177311897464
229,0.15799896878747272,0.02514631688594837
230,0.33163125784708425,0.052780753970146366
231,0.4253555515306309,0.06769743859767932
232,0.4762232120780136,0.07579327821731587
233,0.5038700961361066,0.08019341647624988
234,0.5190342002975693,0.08260685861110705
235,0.5274607357665377,0.08394798338413256
236,0.024805911192170793,0.0039479833841325526
237,-0.47784891338219615,-0.07605201661586745
