step,omega_rad_s,frequency_hz
0,0.0,0.0
1,0.44533616436746903,0.07087745189666748
2,0.5636221569551063,0.08970325231552125
3,0.69726172429996,0.11097265005111696
4,0.87503373914891,0.13926594495773317
5,1.0657463649915075,0.16961880207061772
6,1.2973801304522807,0.2064844608306885
7,1.5404150133753594,0.24516466379165652
8,1.8215995341044389,0.28991657018661504
9,2.139762998649358,0.3405538582801819
10,2.469389464197938,0.3930155396461487
11,2.854122302035887,0.4542476725578309
12,3.2677408370054657,0.5200771069526673
13,3.704432180737456,0.5895786929130555
14,4.1718759443934585,0.663974678516388
15,4.64593224382549,0.7394230818748475
16,5.129184788041458,0.8163351130485536
17,5.620117542630274,0.8944694876670839
18,6.09574302651085,0.9701676344871523
19,6.283185307179586,1.0
20,6.283185307179586,1.0
21,6.283185307179586,1.0
22,6.283185307179586,1.0
23,6.283185307179586,1.0
24,6.168819519341584,0.981798119544983
25,5.764864823651187,0.9175067329406739
26,5.26220999907682,0.8375067329406739
27,4.759555174502453,0.7575067329406739
28,4.256900349928086,0.677506732940674
29,3.7542455253537197,0.597506732940674
30,3.251590700779353,0.5175067329406741
31,2.7489358762049863,0.43750673294067405
32,2.2462810516306195,0.3575067329406741
33,1.7436262270562526,0.2775067329406741
34,1.2409714024818856,0.19750673294067406
35,0.7383165779075187,0.11750673294067406
36,0.2878532625199155,0.04581326961517356
37,0.06173952093223625,0.009826149940490941
38,-0.020614634510385477,-0.003280920982360622
39,-0.025040659687642616,-0.003985344767570278
40,0.00976786984150186,0.0015546047687532692
41,0.06350964712681165,0.010107874274254062
42,0.006618550358904331,0.0010533750057222623
43,0.016867695437393096,0.002684577107429721
44,0.05878914332813792,0.009356582760811069
45,0.11507712274247232,0.01831509292125724
46,0.17757542487458985,0.028262006640434486
47,0.24254875407500504,0.03860283315181755
48,0.17699267695828577,0.02816925942897819
49,0.18641464461831483,0.02966881215572379
50,0.22836890681487865,0.03634604036808036
51,0.28401762520233964,0.045202808976173625
52,0.3453319345997216,0.05496128439903282
53,0.26982614949898476,0.04294416546821617
54,0.27847800337645506,0.044321150779724344
55,0.3212223930111696,0.05112413167953514
56,0.37753038233602565,0.06008582651615165
57,0.2960017302654472,0.0471101385354998
58,0.30504041057990555,0.048548689186573256
59,0.3489484534726491,0.055536871254444356
60,0.262048951168486,0.04170638591051125
61,0.27052156410968037,0.043054844141006694
62,0.314531281915535,0.05005920827388786
63,0.37180933058028487,0.05917529284954094
64,0.2902880188474609,0.04620077311992669
65,0.30325439217958455,0.04826443552970909
